Дата,дивизион,показатель,среднее_значение_прогноза,нижняя_граница_доверительного_интервала_прогноза,верхняя_граница_доверительного_интервала_прогноза
2025-03-01,Дивизион_по_корпоративному_бизнесу,ARPU,9894.60747059082,9404.57502176213,10384.639919419513
2025-03-01,Дивизион_по_розничному_бизнесу,ARPU,9894.84802645238,9404.7433069769,10384.952745927862
2025-03-01,Дивизион_информационных_технологий,ARPU,9896.90043328689,9406.802500893424,10386.998365680356
2025-03-01,Дирекция_управления_проектами_(ДУП),ARPU,9895.97733429321,9405.816894827569,10386.137773758852
2025-03-01,Дирекция_телеком-комплектации,ARPU,9894.467424868888,9404.46412871243,10384.470721025344
2025-03-01,Корпоративный_университет,ARPU,9893.033452395275,9402.893583277566,10383.173321512984
2025-03-01,"Обьединение_""Дивизион_Сеть""",ARPU,9895.639797178746,9405.55190009967,10385.727694257825
2025-03-01,Сервисная_Фабрика,ARPU,9894.709254283209,9404.645095502532,10384.773413063886
2025-03-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,9896.972419190432,9406.8350773555,10387.109761025366
2025-04-01,Дивизион_по_корпоративному_бизнесу,ARPU,10085.177698429265,9590.94929766871,10579.406099189817
2025-04-01,Дивизион_по_розничному_бизнесу,ARPU,10084.958631159634,9590.177427658384,10579.739834660884
2025-04-01,Дивизион_информационных_технологий,ARPU,10096.310780518865,9601.69296629506,10590.928594742669
2025-04-01,Дирекция_управления_проектами_(ДУП),ARPU,10095.264874377846,9600.040326291602,10590.48942246409
2025-04-01,Дирекция_телеком-комплектации,ARPU,10087.601845968784,9593.864345045446,10581.339346892122
2025-04-01,Корпоративный_университет,ARPU,10082.901401671994,9588.123898061069,10577.67890528292
2025-04-01,"Обьединение_""Дивизион_Сеть""",ARPU,10092.034009805591,9597.523760613396,10586.54425899779
2025-04-01,Сервисная_Фабрика,ARPU,10089.42642039231,9595.310634651183,10583.542206133436
2025-04-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,10091.326093193236,9596.35373314205,10586.29845324442
2025-05-01,Дивизион_по_корпоративному_бизнесу,ARPU,10201.54112087403,9695.393627761014,10707.688613987046
2025-05-01,Дивизион_по_розничному_бизнесу,ARPU,10197.974802921126,9691.41228758474,10704.537318257511
2025-05-01,Дивизион_информационных_технологий,ARPU,10204.019788298612,9697.314319136189,10710.725257461036
2025-05-01,Дирекция_управления_проектами_(ДУП),ARPU,10202.521755170868,9695.653667842456,10709.38984249928
2025-05-01,Дирекция_телеком-комплектации,ARPU,10193.825559330497,9689.572916313233,10698.07820234776
2025-05-01,Корпоративный_университет,ARPU,10194.21582617417,9687.038270793471,10701.393381554868
2025-05-01,"Обьединение_""Дивизион_Сеть""",ARPU,10197.705965989711,9692.253611161826,10703.1583208176
2025-05-01,Сервисная_Фабрика,ARPU,10204.684847286046,9699.774868707194,10709.594825864897
2025-05-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,10200.03270259551,9692.59534910745,10707.47005608357
2025-06-01,Дивизион_по_корпоративному_бизнесу,ARPU,9494.675413105791,8964.801883065207,10024.54894314638
2025-06-01,Дивизион_по_розничному_бизнесу,ARPU,9498.08576036971,8969.996471268489,10026.17504947093
2025-06-01,Дивизион_информационных_технологий,ARPU,9490.690162094494,8963.177764469447,10018.20255971954
2025-06-01,Дирекция_управления_проектами_(ДУП),ARPU,9498.659162990283,8969.725013616164,10027.593312364406
2025-06-01,Дирекция_телеком-комплектации,ARPU,9480.625913613345,8956.486630861618,10004.765196365071
2025-06-01,Корпоративный_университет,ARPU,9483.336448497696,8955.880434854209,10010.792462141182
2025-06-01,"Обьединение_""Дивизион_Сеть""",ARPU,9491.910922049428,8967.185760894767,10016.636083204086
2025-06-01,Сервисная_Фабрика,ARPU,9494.70665024008,8970.093947979982,10019.31935250018
2025-06-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,9480.348093593033,8951.432278387845,10009.26390879822
2025-07-01,Дивизион_по_корпоративному_бизнесу,ARPU,10558.409197547477,9993.589118578291,11123.229276516662
2025-07-01,Дивизион_по_розничному_бизнесу,ARPU,10548.3735405636,9989.290913056817,11107.456168070385
2025-07-01,Дивизион_информационных_технологий,ARPU,10551.877777509311,9989.472598883984,11114.28295613464
2025-07-01,Дирекция_управления_проектами_(ДУП),ARPU,10582.86855818353,10019.86641812116,11145.8706982459
2025-07-01,Дирекция_телеком-комплектации,ARPU,10545.517456614563,9986.361652682328,11104.673260546802
2025-07-01,Корпоративный_университет,ARPU,10553.29309835706,9996.221788613304,11110.364408100815
2025-07-01,"Обьединение_""Дивизион_Сеть""",ARPU,10543.047466039585,9986.372501279751,11099.722430799417
2025-07-01,Сервисная_Фабрика,ARPU,10561.488093005666,10005.580015982154,11117.396170029178
2025-07-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,10555.030087559411,9991.990218774012,11118.06995634481
2025-08-01,Дивизион_по_корпоративному_бизнесу,ARPU,10668.82844934183,10054.16946327209,11283.487435411573
2025-08-01,Дивизион_по_розничному_бизнесу,ARPU,10664.10575776799,10065.024765271432,11263.186750264547
2025-08-01,Дивизион_информационных_технологий,ARPU,10687.276316427087,10077.532043964538,11297.020588889636
2025-08-01,Дирекция_управления_проектами_(ДУП),ARPU,10714.584016828094,10105.753841962136,11323.414191694052
2025-08-01,Дирекция_телеком-комплектации,ARPU,10655.47165275781,10054.25361522738,11256.68969028824
2025-08-01,Корпоративный_университет,ARPU,10678.827281082684,10082.647468486988,11275.00709367838
2025-08-01,"Обьединение_""Дивизион_Сеть""",ARPU,10651.829764171363,10053.43516780249,11250.224360540236
2025-08-01,Сервисная_Фабрика,ARPU,10685.827792915752,10087.64240126857,11284.013184562937
2025-08-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,10678.838972398647,10072.6119311369,11285.066013660396
2025-09-01,Дивизион_по_корпоративному_бизнесу,ARPU,10391.348161960252,9723.07735692391,11059.618966996595
2025-09-01,Дивизион_по_розничному_бизнесу,ARPU,10394.548066313231,9740.836915772445,11048.25921685402
2025-09-01,Дивизион_информационных_технологий,ARPU,10430.66181592881,9758.64454953695,11102.67908232067
2025-09-01,Дирекция_управления_проектами_(ДУП),ARPU,10459.622036524232,9793.085413812949,11126.158659235518
2025-09-01,Дирекция_телеком-комплектации,ARPU,10379.29986722267,9717.597485489996,11041.002248955345
2025-09-01,Корпоративный_университет,ARPU,10413.66190922077,9767.14260080951,11060.181217632027
2025-09-01,"Обьединение_""Дивизион_Сеть""",ARPU,10359.021874970998,9701.952437917764,11016.091312024231
2025-09-01,Сервисная_Фабрика,ARPU,10394.404940619726,9739.90185259441,11048.908028645044
2025-09-01,"Центральный_аппарат_Акционерного_Общества_""Казахтелеком""",ARPU,10407.382108196747,9747.42991789957,11067.334298493925
2025-10-01,Дивизион_по_корпоративному_бизнесу,ARPU,10809.80647116891,10067.303370100804,11552.309572237014
2025-10-01,Дивизион_по_розничному_бизнесу,ARPU,10819.596781633863,10100.762837844952,11538.43072542278
2025-10-01,Дивизион_информационных_технологий,ARPU,10868.082819819743,10123.392260733148,11612.773378906342
